domain,receive_time,serial,seqno,actionflags,is-logging-service,type,subtype,config_ver,time_generated,high_res_timestamp,src,dst,rule,srcloc,dstloc,app,vsys,from,to,inbound_if,outbound_if,time_received,sessionid,repeatcnt,sport,dport,natsport,natdport,flags,flag-pcap,flag-flagged,flag-proxy,flag-url-denied,flag-nat,captive-portal,non-std-dport,transaction,pbf-c2s,pbf-s2c,temporary-match,sym-return,decrypt-mirror,credential-detected,flag-mptcp-set,flag-tunnel-inspected,flag-recon-excluded,flag-wf-channel,proto,action,tunnel,tpadding,cpadding,rule_uuid,s_decrypted,s_encrypted,vpadding,category_of_app,subcategory_of_app,technology_of_app,tunneled_app,risk_of_app,is_saas_of_app,sanctioned_state_of_app,bpadding,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,device_name,vsys_id,tunnelid_imsi,parent_session_id,bytes,bytes_sent,bytes_received,packets,start,elapsed,category,traffic_flags,flag-decrypt-forwarded,flag-l7-skipped,pkts_sent,pkts_received,session_end_reason,action_source,assoc_id,chunks,chunks_sent,chunks_received,http2_connection,link_change_count,sdwan_fec_data,offloaded,tunnelid,imsi,monitortag,imei,characteristic_of_app,container_of_app
1,2025/02/26 17:54:28,021201168048,7475679453893361665,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361664,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,gtpv2-c,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x100000,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,networking,infrastructure,network-protocol,gtpv2-c,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,pervasive-use,gtp
1,2025/02/26 17:54:28,021201168048,7475679453893361667,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,23.22.155.63,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,46295,1,1434,57180,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,302,302,0,1,2025/02/26 17:54:27,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361666,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,192.148.27.115,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,102465,1,1434,18112,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,232,232,0,1,2025/02/26 17:54:25,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361665,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361664,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,gtpv2-c,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x100000,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,networking,infrastructure,network-protocol,gtpv2-c,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,pervasive-use,gtp
1,2025/02/26 17:54:28,021201168048,7475679453893361667,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,23.22.155.63,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,46295,1,1434,57180,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,302,302,0,1,2025/02/26 17:54:27,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361666,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,192.148.27.115,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,102465,1,1434,18112,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,232,232,0,1,2025/02/26 17:54:25,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361665,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361664,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,gtpv2-c,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x100000,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,networking,infrastructure,network-protocol,gtpv2-c,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,pervasive-use,gtp
1,2025/02/26 17:54:28,021201168048,7475679453893361667,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,23.22.155.63,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,46295,1,1434,57180,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,302,302,0,1,2025/02/26 17:54:27,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361666,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,192.148.27.115,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,102465,1,1434,18112,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,232,232,0,1,2025/02/26 17:54:25,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361665,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361664,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,gtpv2-c,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x100000,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,networking,infrastructure,network-protocol,gtpv2-c,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,pervasive-use,gtp
1,2025/02/26 17:54:28,021201168048,7475679453893361667,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,23.22.155.63,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,46295,1,1434,57180,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,302,302,0,1,2025/02/26 17:54:27,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361666,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,192.148.27.115,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,102465,1,1434,18112,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,232,232,0,1,2025/02/26 17:54:25,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361665,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361664,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,gtpv2-c,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x100000,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,networking,infrastructure,network-protocol,gtpv2-c,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,pervasive-use,gtp
1,2025/02/26 17:54:28,021201168048,7475679453893361667,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,23.22.155.63,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,46295,1,1434,57180,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,302,302,0,1,2025/02/26 17:54:27,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361666,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,192.148.27.115,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,102465,1,1434,18112,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,232,232,0,1,2025/02/26 17:54:25,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361665,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,unknown-udp,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,unknown-udp,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,,
1,2025/02/26 17:54:28,021201168048,7475679453893361664,0x0,no,TRAFFIC,start,2562,2025/02/26 17:54:28,2025-02-26T17:54:28.814+07:00,92.88.242.158,192.168.10.13,untrunt to trust,France,192.168.0.0-192.168.255.255,gtpv2-c,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 17:54:28,82797,1,2123,11396,0,0,0x100000,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,udp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,networking,infrastructure,network-protocol,gtpv2-c,1,no,no,0,0,0,0,0,PA-440,1,0,0,930,930,0,1,2025/02/26 17:54:23,0,any,0x0,no,no,1,0,n/a,from-policy,0,0,0,0,0,0,0,0,0,,0,,pervasive-use,gtp
