Application,Repeat Count,IP Protocol,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),Packets Sent,Packets Received,Session End Reason,Risk of app,Packets per second,Bytes per second,Average packet size,Label
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25800,12900,12900,430,158.0,215,215,tcp-rst-from-server,1,2.721518815093746,163.29112890562476,59.9999986046512,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
incomplete,1,tcp,25920,12960,12960,432,159.0,216,216,tcp-rst-from-server,1,2.7169809611961657,163.01885767176995,59.999998611111145,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
dns-base,1,udp,60,60,0,1,0.0,1,0,,3,100000.0,5999999.999999999,59.99940000599994,1
incomplete,1,tcp,25800,12900,12900,430,157.0,215,215,tcp-rst-from-server,1,2.738853328735457,164.3311997241274,59.9999986046512,1
